INFO 2025-05-29 09:59:32,419 - Launching Wezel!
WARNING 2025-05-29 12:47:34,521 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 12:47:34,536 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 12:47:34,568 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 12:47:34,583 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 12:47:34,615 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 12:47:34,630 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 12:47:34,661 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 12:47:34,692 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 12:47:35,005 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 12:47:35,302 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
WARNING 2025-05-29 12:47:35,317 - 'write_like_original' is deprecated and will be removed in v4.0, please use 'enforce_file_format' instead
